
2025/03/03 (00:03:51) | ===> btop++ v.1.4.0
2025/03/03 (00:03:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (18:06:29) | ===> btop++ v.1.4.0
2025/03/03 (18:06:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:03:59) | ===> btop++ v.1.4.0
2025/03/04 (11:03:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:04:17) | ===> btop++ v.1.4.0
2025/03/04 (11:04:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:31:58) | ===> btop++ v.1.4.0
2025/03/04 (11:31:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:32:44) | ===> btop++ v.1.4.0
2025/03/04 (11:32:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:33:11) | ===> btop++ v.1.4.0
2025/03/04 (11:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:33:32) | ===> btop++ v.1.4.0
2025/03/04 (11:33:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (11:34:07) | ===> btop++ v.1.4.0
2025/03/04 (11:34:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (18:35:16) | ===> btop++ v.1.4.0
2025/03/15 (18:35:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (18:55:36) | ===> btop++ v.1.4.0
2025/03/15 (18:55:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (17:44:51) | ===> btop++ v.1.4.0
2025/03/18 (17:44:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (11:29:24) | ===> btop++ v.1.4.0
2025/03/20 (11:29:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (20:45:38) | ===> btop++ v.1.4.0
2025/04/13 (20:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (18:54:12) | ===> btop++ v.1.4.0
2025/04/26 (18:54:12) | WARNING: Intel GPU: Failed to initialize PMU
